@delta,camera_id,suburb,street,offence_location,postcode,last_annual_test,last_annual_test_sortable,camera_type,certificate,site_type,reason,link,latitude,longitude,intersects_with,expiry_date,lga,commissioned_date,description,network,status,DJCS Comments,location
318,D54,Warrnambool,Raglan Parade,"Raglan Parade, at the intersection of Raglan Parade and Caramut Road, Warrnambool",3280,8/12/2025,8/12/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/D54-raglan-parade-and-caramut-road-warrnambool-camera-cert-081225.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.36425,142.4596,Caramut Road,8/12/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.36425,142.4596"
329,GV04S,Mangalore,Goulburn Valley Freeway,"Goulburn Valley Freeway, Mangalore, approximately 1670 metres South of Selectors Rd/Gerrards Rd, Mangalore",3663,20/05/2026,20/05/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-06/GV04S-goulburn-valley-fwy-and-1670-metres-south-of-selectors-rd-gerrards-rd-mangalore-camera-cert-200526.pdf,Freeway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-36.942183,145.143985,"approximately 1670 metres South of Selectors Rd/Gerrards Rd, Mangalore",20/05/2027,,,,,,,"-36.942183,145.143985"
333,M126E,Trafalgar,Princes Freeway,"Princes Freeway, Trafalgar, Princes Freeway East & 120 Metres West of Kennys Road",3824,1/05/2026,1/05/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/M126E-trafalgar-princes-freeway-east-and-120-metres-west-of-kennys-road-camera-cert-01052026.pdf,Freeway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.203552,146.18062,"Princes Freeway East & 120 Metres West of Kennys Road, TRAFALGAR",1/05/2027,,,,,,,"-38.203552,146.18062"
1,A02,Melbourne Airport,Terminal Drive,"Terminal Drive, at the intersection of Terminal Drive and Centre Road, Melbourne Airport",3045,12/03/2026,12/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/A02-melbourne-airport-intersection-of-terminal-drive-and-centre-road-camera-cert-120326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.673062,144.852223,Centre Road,12/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.673062,144.852223"
2,A03,Fitzroy North,Alexandra Parade,"Alexandra Parade, at the intersection of Alexandra Parade and George Street, Fitzroy North",3068,14/07/2026,14/07/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-07/A03-fitzroy-north-intersection-of-alexandra-parade-and-george-street-camera-cert-080726.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.793455,144.982617,George Street,14/07/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.793455,144.982617"
8,A13,Footscray,Gordon Street,"Gordon Street, at the intersection of Gordon Street and Barkly Street, Footscray",3011,14/01/2026,14/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-01/A13-footscray-gordon-street-intersection-of-gordon-street-and-barkly-st-camera-cert-140126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.798697,144.88815,Barkly Street,14/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.798697,144.88815"
9,A16,Narre Warren,Princes Highway,"Princes Highway, at the intersection of Princes Highway and Webb Street, Narre Warren",3805,21/07/2026,21/07/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-08/A16_Narre_Warren_Princes_Highway_Intersection_of_Princes_Highway_and_Webb_Street_camera_cert_210725.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.0253996,145.3052978,Webb Street,21/07/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.0253996,145.3052978"
22,A45,Caulfield,Glen Eira Road,"Glen Eira Road, at the intersection of Glen Eira Road and Kooyong Road, Caulfield",3162,22/06/2026,22/06/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-07/A45-caulfield-intersection-of-glen-eira-road-and-kooyong-road-camera-cert-220626.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8792258,145.016442,Kooyong Road,22/06/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8792258,145.016442"
24,A46,Dandenong North,Gladstone Road,"Gladstone Road, at the intersection of Gladstone Road and Heatherton Road, Dandenong North",3175,9/07/2026,9/07/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-07/A46-dandenong-north-intersection-of-gladstone-road-and-heatherton-road-camera-cert-090726.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.9687606,145.2051334,Heatherton Road,9/07/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.9687606,145.2051334"
35,A75,Kew East,Burke Rd,"Burke Rd, at the intersection of Burke Rd and Old Burke Road, Kew East",3102,7/11/2025,7/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-11/A75-kew-east-burke-road-intersection-of-burke-road-and-old-burke-road-camera-cert-071125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.787505,145.064898,Old Burke Road,7/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.787505,145.064898"
